id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,pool_score,garage_score,fireplace_score,basement_score,kitchen_score,overall_score
109,533352170,60,RL,0.0,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,289.0,4,3,CBlock,3,3,1.0,6.0,533.0,1.0,0.0,192.0,725.0,GasA,5,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,1976.0,2.0,2.0,475.0,3,3,Y,0,44,0,0,0,0,0,0.0,0,3,2010,WD ,130500,0,8550,0,6525,4,48
544,531379050,60,RL,43.0,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,132.0,4,3,PConc,4,3,1.0,6.0,637.0,1.0,0.0,276.0,913.0,GasA,5,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,1997.0,2.0,2.0,559.0,3,3,Y,0,74,0,0,0,0,0,0.0,0,4,2009,WD ,220000,0,10062,3,10956,4,35
153,535304180,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,0.0,3,4,CBlock,3,3,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,GasA,3,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,1953.0,1.0,1.0,246.0,3,3,Y,0,52,0,0,0,0,0,0.0,0,1,2010,WD ,109000,0,2214,0,9513,4,35
318,916386060,60,RL,73.0,9802,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,4,3,1.0,1.0,0.0,1.0,0.0,384.0,384.0,GasA,4,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,2007.0,3.0,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,0.0,0,4,2010,WD ,174000,0,7200,0,4608,3,25
255,906425045,50,RL,82.0,14235,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,0.0,3,3,PConc,2,4,1.0,1.0,0.0,1.0,0.0,676.0,676.0,GasA,3,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,1957.0,1.0,2.0,484.0,3,3,N,0,59,0,0,0,0,0,0.0,0,3,2010,WD ,138500,0,8712,0,5408,3,48
138,535126040,20,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,0.0,4,3,CBlock,3,3,1.0,5.0,247.0,3.0,713.0,557.0,1517.0,GasA,5,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,1966.0,3.0,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,0.0,0,6,2010,WD ,190000,0,10404,4,13653,4,36
2827,908186070,180,RM,35.0,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,82.0,3,3,PConc,4,3,4.0,6.0,547.0,1.0,0.0,0.0,547.0,GasA,4,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,2005.0,3.0,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,0.0,0,6,2006,New,140000,0,9450,0,6564,3,30
145,535154050,20,RL,0.0,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,180.0,3,3,CBlock,3,3,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,GasA,2,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,1959.0,2.0,2.0,531.0,3,3,Y,0,0,0,0,0,0,0,3.0,0,5,2010,COD,142000,0,9558,0,10692,3,25
1942,535353130,20,RL,0.0,15783,Pave,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,CBlock,3,3,1.0,3.0,292.0,1.0,0.0,632.0,924.0,GasA,3,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,1952.0,1.0,1.0,420.0,3,3,Y,0,324,0,0,0,0,0,3.0,400,6,2007,WD ,112500,0,3780,0,8316,3,25
1956,535426130,60,RL,70.0,11606,Pave,IR1,HLS,AllPub,Inside,Sev,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,192.0,3,3,PConc,4,3,3.0,3.0,650.0,1.0,0.0,390.0,1040.0,GasA,3,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,1969.0,1.0,2.0,504.0,3,3,Y,335,0,0,0,0,0,0,0.0,0,9,2007,WD ,135000,0,9072,6,12480,2,25
1044,527451290,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,232.0,3,3,CBlock,3,3,1.0,5.0,387.0,1.0,0.0,96.0,483.0,GasA,3,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,0,1971.0,1.0,1.0,264.0,3,3,Y,0,0,0,0,0,0,0,0.0,0,7,2008,COD,85400,0,2376,0,4347,3,30
2752,906380150,20,RL,64.0,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,4,3,3.0,6.0,393.0,1.0,0.0,815.0,1208.0,GasA,5,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,0,2005.0,2.0,2.0,632.0,3,3,Y,105,58,0,0,0,0,0,0.0,0,2,2006,WD ,183600,0,11376,0,14496,4,35
807,906226060,70,RL,120.0,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,0.0,4,3,PConc,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3,1900.0,1.0,2.0,576.0,3,3,P,0,0,0,0,0,0,0,0.0,0,6,2009,WD ,131000,0,10368,3,0,3,35
1177,533236070,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,456.0,4,3,PConc,4,3,1.0,6.0,813.0,1.0,0.0,147.0,960.0,GasA,5,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,0,2000.0,1.0,2.0,480.0,3,3,Y,169,0,0,0,0,0,0,0.0,0,12,2008,ConLD,200000,0,8640,0,11520,4,40
